Chapter,Type,Word,Meaning
45,표제어,aggressive,"a.공격적인, 적극적인"
45,연관어,aggression,n.공격(성)
45,연관어,aggressively,ad.격렬하게
12,표제어,aging,n.노화
29,표제어,agitate,"v.동요시키다, 선동하다"
17,표제어,agreement,"n.합의, 계약, 동의, 협정"
17,연관어,agree,v.동의하다
17,연관어,agreeable,"a.기분 좋은, 동의할 수 있는"
23,표제어,agriculture,n.농업
23,연관어,agricultural,a.농업의
23,표제어,aid,"n.도움, 원조"
34,표제어,aim,n.목표
34,연관어,be aimed at,v.목표로 하다
48,표제어,alarm,"n.경고,경보,알람 v.불안하게 만들다"
11,표제어,alert,"a.방심하지 않는, 경계하는, 민첩한"
11,연관어,alertness,"n.각성, 기민함"
5,표제어,alien,"a.생소한, 이질적인, 서로 용납되지 않는"
5,연관어,alienation,n.소외
1,표제어,align,"v.정렬하다, 일치시키다"
1,연관어,align with,"v.맞추다, 조정하다 "
34,표제어,alike,"a.비슷한 ad.둘 다, 똑같이"
44,표제어,alive,a.살아 있는
16,표제어,allergy,n.알레르기
16,연관어,allergic,a.알레르기가 있는
16,연관어,allergic to ,"…에 대해 알레르기가 있는, …을 몹시 싫어하는"
32,표제어,alleviate,"v.완화하다, 경감하다"
45,표제어,allocate,"v.배분하다, 할당하다"
45,연관어,allocation,n.할당
13,표제어,allow,v.허락하다
13,연관어,allowable,a.허용 가능한
13,연관어,allowance,n.허용
30,표제어,alter,"v.바꾸다, 변경하다"
30,연관어,alteration,"n.변경, 개조, 수정"
30,연관어,alternately,ad.번갈아서
16,표제어,alternative,"n.대안, 양자택일 "
16,연관어,alternatively,ad.그 대신에
4,표제어,altruism,n.이타주의
4,연관어,altruist,n.이타주의자
4,연관어,altruistic,a.이타적인 
41,표제어,amaze,v.놀라게 하다 
41,연관어,amazed,"a.놀란, 감탄한"
41,연관어,amazingly,ad.놀랄 만큼 
10,표제어,ambiguous,"a.모호한, 애매한"
10,연관어,ambiguity,n.모호함
10,연관어,unambiguous,a.명확한
25,표제어,ambitious,a.야심 있는
25,연관어,ambition,n.포부
32,표제어,ambivalent,"a.반대 감정이 병존하는, 양가적인"
28,표제어,amount,"n.양, 총계, 총액"
48,표제어,amplify,"v.증폭하다, 확대하다"
48,연관어,ample,a.충분한
45,표제어,analogy,"n.비유, 유사점"
5,표제어,analyze,v.분석하다
5,연관어,analysis,n.분석
5,연관어,analyst,n.분석가
5,연관어,analytic,a.분석적인
5,연관어,analytical,a.분석적인
5,연관어,analytically,ad.분석적으로
38,표제어,anatomy,n.해부학
