Chapter,Type,Word,Meaning
24,연관어,conductor,n.지휘자
24,연관어,conference,"n.회의, 회담"
3,표제어,confess,v.고백하다
43,표제어,confidence,"n.자신감, 신뢰, 확신"
43,연관어,confident,"a.확신하는, 자신감 있는"
10,표제어,confidential,"a.기밀의, 비밀의"
44,표제어,confine,"v.제한하다, 한정하다, 가두다"
44,연관어,confinement,"n.감금, 감금 상태 "
13,표제어,confirm,"v.확인하다, 확정하다"
33,표제어,conflict,"n.갈등, 충돌, 다툼, 분쟁"
33,연관어,conflicting,a.상충하는
36,표제어,conform,"v.순응하다, 따르다, 일치하다"
36,연관어,conformity,"n.순응, 일치"
14,표제어,confront,"v.직면하다, 맞서다"
14,연관어,confrontation,"n.대치, 대립, 충돌"
14,연관어,be confronted with,v.직면하다
32,표제어,confuse,"v.혼란스럽게 하다, 혼동하다"
32,연관어,confusing,a.혼란스러운
32,연관어,confusion,"n.동요, 혼란, 혼동 "
38,표제어,congestion,"n.혼잡, 밀집"
43,표제어,congress,"n.국회, 의회, 회의, 회합"
14,표제어,connotation,n.함축
43,표제어,conquer,"v.정복하다, 극복하다"
43,연관어,conquest,n.정복
9,표제어,conscience,n.양심
6,표제어,conscious,"a.의식하는, 의도적인, 자각하는, 의식이 있는"
6,연관어,consciously,ad.의식적으로
6,연관어,consciousness,"n.의식, 자각"
6,연관어,unconscious,a.무의식적인
6,연관어,unconsciously,ad.무의식적으로
15,표제어,consensus,"n.합의, 의견 일치"
15,연관어,consent,n.동의 v.동의하다
46,표제어,consequence,"n.결과, 영향, 중요성"
46,연관어,consequent,a.결과적인
46,연관어,consequently,ad.결과적으로
14,표제어,conserve,"v.보존하다, 보호하다"
14,연관어,conservative,a.보수적인
14,연관어,conservation,"n.보존, 보호"
39,표제어,consider,"v.고려하다, 숙고하다"
39,연관어,considerable,"a.상당한, 중요한"
39,연관어,considerably,ad.상당히
39,연관어,considering,"전.~을 고려할 때, 고려하여"
39,연관어,considerate,"a.배려하는, 사려깊은, 신중한"
25,표제어,consist of,"v.구성되다, 이루어지다"
34,표제어,consistent,"a.일관성이 있는, 지속적인"
34,연관어,consistency,"n.일관성, 농도, 밀도, 한결같음"
34,연관어,consistently,"ad.지속적으로, 일관되게"
47,표제어,consolidate,"v.강화하다, 공고히 하다"
17,표제어,conspicuous,"a.뚜렷한, 눈에 띄는, 저명한"
8,표제어,constant,"a.일정한, 지속적인"
8,연관어,constantly,"ad.끊임없이, 지속적으로"
1,표제어,constitute,"v.구성하다, 설립하다"
1,연관어,constitution,"n.헌법, 구성, 구조, 체질"
1,연관어,constitutional,"a.체제의, 헌법의"
22,표제어,constraint,"n.제약, 제한"
22,연관어,constrain,"v.제한하다, 억제하다, 강요하다"
32,표제어,constrict,"v.압축하다, 수축시키다, 제한하다"
22,표제어,construction,"n.건설, 구조, 구성, 해석"
22,연관어,construct,"v.건설하다, 구성하다"
22,연관어,constructive,a.건설적인
3,표제어,consult,"v.상담하다, 참고하다"
3,연관어,consultant,"n.상담가, 자문 위원, 상담가"
3,연관어,consultation,n.상담
13,표제어,consumption,"n.소비, 소모, 섭취"
13,연관어,consume,"v.소비하다, 섭취하다"
13,연관어,consumer,n.소비자
17,표제어,contact,"n.접촉, 연락 v.연락하다"
37,표제어,contagious,"a.전염성이 있는, 감염되는"
37,연관어,contagion,"n.전염, 감염"
11,표제어,contain,"v.포함하다, 함유하다, 억제하다"
11,연관어,container,"n.담는 곳, 그릇, 용기"
26,표제어,contaminate,"v.오염시키다, 더럽히다"
26,연관어,contaminant,n.오염물질  
26,연관어,contamination,n.오염
18,표제어,contemplate,"v.숙고하다, 응시하다, 고려하다"
18,연관어,contemplation,n.숙고
,연관어,contemporary,"a.동시대의, 현대의"
44,표제어,contempt,"n.경멸, 멸시"
45,표제어,content,"a.만족하는 n.내용, 목차"
45,연관어,contentment,n.만족
45,연관어,be content with,v.만족하다
41,표제어,context,"n.맥락, 상황"
7,표제어,contextual,"a.문맥상의, 상황의"
5,표제어,continent,n.대륙
5,연관어,continental,a.대륙의
22,표제어,contingent,a.~에 달려 있는 n. 대표단
4,표제어,continuous,"a.계속적인, 연속적인, 끊임 없는"
4,연관어,continual,"a.계속되는, 반복되는"
4,연관어,continually,"ad.지속적으로, 계속적으로"
4,연관어,continuation,"n.지속, 연속"
4,연관어,continue,"v.계속하다, 계속되다"
15,표제어,contract,"n.계약 v.계약하다,수축하다"
15,연관어,contraction,"n.수축, 축소"
17,표제어,contradiction,"n.모순, 반박"
17,연관어,contradict,"v.반박하다, 모순되다"
17,연관어,contradictory,"a.모순된, 상반된"
13,표제어,contrary,a.반대의 
11,표제어,contrast,"n.대조, 대비 v.대조하다, 대비시키다"
40,표제어,contribute,"v.기여하다, 공헌하다, 원인이 되다, 기부하다"
40,연관어,contribution,"n.기여, 공헌, 기부금"
24,표제어,controversial,"a.논란의 여지가 있는, 논란거리인"
24,연관어,controversy,"n.논쟁, 논란"
7,표제어,convenience,"n.편리, 편의 "
7,연관어,convenient,"a.편리한, 간편한"
30,표제어,conventional,"a.관습적인, 전통적인, 기존의, 전형적인"
30,연관어,unconventional,"a.관습에 매이지 않은,비전통적인"
5,표제어,convergent,"a.수렴하는, 한데 모이는"
5,연관어,convergence,"n.집중, 수렴"
22,표제어,conversation,"n.대화, 대담"
22,연관어,conversely,"ad.반대로, 역으로"
26,표제어,convert,"v.바꾸다, 전환하다, 개조하다, 개종하다"
26,연관어,convertible,a.전환될 수 있는
12,표제어,convey,"v.전달하다, 운반하다"
46,표제어,convince,"v.납득시키다, 확신시키다, 설득하다"
46,연관어,conviction,"n.신념, 확신"
2,표제어,cooperation,"n.협력, 협동, 협조"
2,연관어,cooperate,"v.협력하다, 협조하다, 협동하다"
2,연관어,cooperative,"a.협력적인, 협동하는"
46,표제어,coordination,"n.조정, 조화, 조율, 합동"
46,연관어,coordinate,"v.조정하다, 조직하다, 협력하다"
19,표제어,cope with,"v.다루다, 대처하다 , 처리하다"
3,표제어,copy,"n.복사, 복제, 복제품 v.복사하다"
16,표제어,copyright,n.저작권
40,표제어,core,"n.핵, 중심부 a.핵심의"
19,표제어,corporate,"a.기업의, 법인의, 공동의"
19,연관어,corporation,n.기업
35,표제어,correct,"a.정확한, 올바른 v.바로잡다, 정정하다"
35,연관어,correction,"n.보정, 수정"
35,연관어,correctness,"n.올바름, 정확함, 정확성"
31,표제어,correlation,n.상관관계
31,연관어,correlate,"v.연관시키다, 상관관계가 있다"
2,표제어,correspond,"v.일치하다, 서신을 주고받다"
2,연관어,correspond to,"v.일치하다, 상응하다"
2,연관어,correspondence,"n.대응, 일치, 상관관계, 서신 "
2,연관어,corresponding,a.상응하는
2,연관어,correspondingly,ad.상응하여
37,표제어,corruption,"n.부패, 타락,변질"
25,표제어,cost,"n.비용, 대가, v.(비용이) 들다, 대가를 치르다 "
25,연관어,cost-effective,a.비용 효율적인
25,연관어,costly,"a.비싼, 비용이 많이 드는"
45,표제어,council,"n.위원회, 협의회"
16,표제어,counsel,"n.조언, 충고 v.상담하다 "
34,표제어,count,"v.세다, 중요하다"
36,표제어,counter,"v.대응하다, 반격하다, 반박하다 n.계산대"
36,연관어,counteract,v.대응하다
36,연관어,counteraction,"n.반작용, 대응 조치"
9,표제어,counterpart,"n.상대, 대응물"
47,표제어,countless,"a.무수한, 셀 수 없이 많은, 수많은"
12,표제어,courageous,a.용감한
12,연관어,courage,n.용기
18,표제어,courteous,"a.공손한, 예의 바른"
,연관어,uncover,"v.드러내다, 밝히다, 폭로하다"
14,표제어,craft,"n.공예, 기술, 공예품"
14,연관어,craftsman,"n.공예인, 장인"
14,연관어,craftsmanship,"n.장인정신, 기술"
29,표제어,create,"v.창조하다, 만들어내다"
29,연관어,creation,"n.창조, 창작, 창출, 창작물"
29,연관어,creature,"n.창조물, 생물, 동물"
29,연관어,creator,"n.창조자, 제작자"
28,표제어,creativity,"n.창의성, 창의력"
28,연관어,creative,"a.창의적인, 독창적인"
4,표제어,credible,a.신뢰할 만한
4,연관어,credibility,n.신뢰성
4,표제어,credit,"a.신용, 잔고, 칭찬"
16,표제어,criminal,n.범죄자 a.범죄의
16,연관어,crime,n.범죄
14,표제어,crisis,n.위기
15,표제어,criterion,n.기준
15,연관어,criteria,n.기준들
19,표제어,critical,"a.비판적인, 중요한, 위기의"
19,연관어,critic,n.비평가
8,표제어,criticize,"v.비판하다, 비평하다"
8,연관어,criticism,"n.비판, 비난"
35,표제어,crop,"n.농작물, 작물"
7,표제어,crucial,"a.결정적인, 중대한, 비판적인"
1,표제어,cruel,a.잔인한
46,표제어,cue,"n.신호, 단서 v.신호를 주다"
24,표제어,cuisine,"n.요리, 요리법"
24,연관어,culinary,a.요리의
31,표제어,cultivate,"v.키우다, 경작하다, 함양하다"
31,연관어,cultivation,"n.경작, 양성, 함양"
26,표제어,cultural,a.문화의
26,연관어,culture,"n.문화, 문명"
15,표제어,curiosity,"n.호기심, 궁금증, 진기한 물건, 골동품"
15,연관어,curious,a.호기심이 많은
27,표제어,currency,"n.통화, 유행, 통용"
40,표제어,current,"a.현재의, 유통되는 n.흐름, 전류, 경향"
40,연관어,currently,"ad.현재, 지금"
40,표제어,custom,"n.관습, 풍습"
40,연관어,customary,a.관례적인
34,표제어,customize,"v.주문 제작하다, 개인화하다"
36,표제어,cyclical,a.순환적인
19,표제어,cynical,a.냉소적인
12,표제어,damage,"n.손상, 피해   v.손상시키다"
12,연관어,damaging,"a.해로운, 피해를 주는"
15,표제어,dash,v.돌진하다
48,표제어,date back (to),v.(시간을) 거슬러 올라가다
48,연관어,deal with,"v.대처하다, 다루다"
8,표제어,debate,"n.토론, 논쟁 v.토론하다, 논쟁하다"
34,표제어,decade,n.십 년
13,표제어,decay,"v.썩다, 부패하다 n.부패, 쇠퇴"
19,표제어,decent,"a.적당한, 괜찮은"
30,표제어,deceive,"v.속이다, 기만하다"
30,연관어,deception,"n.속임수, 기만"
30,연관어,deceptive,a.속이는
19,표제어,decision,"n.결정, 판단"
19,연관어,decide,"v.결심하다, 결정하다"
19,연관어,decisive,"a.결단력 있는, 단호한, 결정적인, 중요한"
19,연관어,undecisive,a.우유부단한
20,표제어,declare,"v.발표하다, 선언하다 "
7,표제어,decline,"n.감소, 하락, 쇠퇴, 거절 v.감소하다, 줄어들다, 쇠퇴하다, 거절하다"
3,표제어,decompose,"v.분해되다, 썩다, 분해하다"
29,표제어,decorate,"v.꾸미다, 장식하다"
14,표제어,decrease,n.감소
10,표제어,dedicate,"v.헌신하다, 바치다, 헌정하다"
10,연관어,dedicated,a.헌신적인
10,연관어,dedication,"n.헌신, 전념"
7,표제어,defeat,v.패배시키다 n.패배
31,표제어,defect,n.결함
41,표제어,defend,"v.방어하다, 변호하다, 옹호하다, 수비하다"
41,연관어,defense,"n.방어, 수비"
41,연관어,defensive,"a.방어적인, 방어의"
7,표제어,deficient,"a.부족한, 결핍된"
7,연관어,deficiency,n.결핍
7,연관어,deficit,"n.결핍, 부족, 결함, 적자 "
17,표제어,define,"v.정의하다, 규정하다"
17,연관어,definition,"n.정의, 의미"
17,연관어,definite,"a.정해진, 분명한"
17,연관어,definitely,"ad.분명히, 틀림없이, 명백하게"
17,연관어,definitive,"a.최종적인, 결정적인"
31,표제어,deforestation,n.삼림 벌채
36,표제어,degenerate,"v.퇴보하다, 악화되다 a.타락한"
20,표제어,degrade,"v.비하하다, 분해하다, 저하시키다"
20,연관어,degradation,"n.비하, 수모, 저하"
48,표제어,degree,"n.(온도,각도 등) 도, 학위, 정도"
38,표제어,delay,"n.지연, 연기 v.미루다, 늦추다, 지연시키다"
40,표제어,deliberate,"a.신중한, 의도적인, 계획적인"
40,연관어,deliberately,"ad.의도적으로, 신중하게"
40,연관어,deliberation,n.숙고
15,표제어,delicate,"a.섬세한, 고운, 취약한"
37,표제어,delight,"n.기쁨, 즐거움 v.기쁘게 하다, 즐겁게 하다"
4,표제어,delude,v.착각하게 하다
4,연관어,delusion,"n.착각, 오해, 망상"
8,표제어,demand,"n.수요, 요구 v.필요로 하다, 요구하다"
8,연관어,demanding,"a.힘든, 부담이 큰, 요구가 많은"
48,표제어,democracy,n.민주주의
48,연관어,democratic,a.민주적인
48,연관어,democratize,"v.대중화하다, 민주화하다"
35,표제어,demonstrate,"v.증명하다, 보여주다, 시위하다"
35,연관어,demonstration,"n.시위, 설명, 입증"
35,연관어,denial,"n.부인, 거절, 부정"
4,표제어,dense,"a.밀집한, 빽빽한"
4,연관어,densely,ad.빽빽하게
4,연관어,density,n.밀도 
45,표제어,deny,"v.부인하다, 거절하다"
45,연관어,depart,"v.출발하다, 떠나다, 이탈하다"
36,표제어,depend,"v.의존하다, ~에 달려 있다"
36,연관어,dependence,"n.의존, 의존도"
36,연관어,dependent,a.의존적인
36,연관어,depending on,전.~에 따라
20,표제어,depict,"v.묘사하다, 나타내다"
20,연관어,depiction,"n.묘사, 서술"
42,표제어,deposit,"v.두다, 입금하다 n.축적물"
16,표제어,depression,n.우울증
16,연관어,depress,"v.우울하게 하다, 침체시키다"
41,표제어,deprive,"v.빼앗다, 박탈하다, 제거하다"
41,연관어,deprivation,"n.박탈, 빼앗김"
19,표제어,derive,"v.유래하다, 파생되다, 얻다, 끌어내다"
42,표제어,descend,"v.하강하다, 내려오다"
42,연관어,descendant,n.후손
41,표제어,describe,"v.묘사하다, 설명하다, 서술하다"
41,연관어,description,"n.설명, 묘사"
41,연관어,descriptive,"a.기술적인, 설명하는, 묘사하는"
38,표제어,designate,v.지정하다 
38,연관어,designation,"n.지정, 명칭"
38,연관어,desirable,a.바람직한
2,표제어,despair,"n.절망, 좌절 v.좌절하다"
39,표제어,desperate,"a.절망적인, 필사적인, 간절한"
1,표제어,despise,v.경멸하다
42,표제어,destination,"n.목적지, 도착지"
42,연관어,destiny,n.운명
25,표제어,destroy,"v.파괴하다, 망치다"
25,연관어,destruction,"n.파괴, 멸망"
25,연관어,destructive,a.파괴적인
11,표제어,detachment,"n.분리, 무심함"
11,연관어,detach,v.분리하다
48,표제어,detect,"v.감지하다, 탐지하다"
48,연관어,detection,"n.탐지, 감지, 발견"
1,표제어,deteriorate,v.악화되다
1,연관어,deterioration,n.악화
8,표제어,determine,"v.결정하다, 규정하다, 밝히다, 측정하다, 확정하다"
8,연관어,determined,"a.단호한, 단단히 결심한"
18,표제어,detrimental,a.해로운
,연관어,devastating,"a.파괴적인, 충격적인"
6,표제어,develop,"v.발달하다, 개발하다, 발전시키다, 발생하다"
6,연관어,development,"n.발전, 발달, 개발, 전개"
32,표제어,device,"n.장치, 기기, 고안, 방책"
24,표제어,devise,v.고안하다
41,표제어,devote,"v.바치다, 헌신하다"
41,연관어,devotion,"n.헌신, 전념"
23,표제어,diabetes,n.당뇨병
48,표제어,diagnose,v.진단하다
48,연관어,diagnosis,n.진단 
6,표제어,diet,"n.식단, 식이요법, 다이어트"
6,연관어,dietary,"a.식용의, 식사의, 음식의"
41,표제어,difference,"n.차이, 다름"
41,연관어,differ,"v.다르다, 차이가 나다, 의견이 일치하지 않다"
41,연관어,different,a.다른
41,연관어,differentially,ad.차별적으로
41,연관어,differentiation,n.차이
41,연관어,differently,ad.다르게
20,표제어,difficulty,"n.어려움, 문제, 곤란"
1,표제어,digestion,n.소화
1,연관어,digest,v.소화하다
25,표제어,digitization,n.디지털화
38,표제어,dignity,n.존엄성
28,표제어,dilemma,"n.딜레마, 곤경"
44,표제어,diligence,"n.근면, 성실"
2,표제어,dilute,"v.희석하다, 묽게 하다"
39,표제어,dim,"a.어둑한, 흐릿한"
32,표제어,dimension,"n.영역, 차원"
14,표제어,diminish,"v.줄어들다, 감소하다, 약화되다, 약화시키다"
48,표제어,direct,"a.직접적인 v.감독하다, 이끌다, 향하게 하다, 안내하다, 유도하다"
48,연관어,direction,"n.방향, 지시, 지도"
24,표제어,disability,"n.장애, 불구, 무능력"
24,연관어,disable,"v.무능하게 하다, 장애를 입히다"
24,연관어,disabled,a.장애를 가진
18,표제어,disadvantage,"n.불리, 불이익, 약점, 단점"
18,연관어,disadvantaged,"a.사회적 약자의, 불리한 처지의"
26,표제어,disagreement,"n.의견 차이, 불일치"
26,연관어,disagree,v.동의하지 않다
4,표제어,disappear,"v.사라지다, 소멸하다"
25,표제어,disappoint,v.실망시키다
25,연관어,disappointed,a.실망한
25,연관어,disappointment,"n.실망, 낙심"
26,표제어,disapprove,"v.반대하다, 못마땅해하다"
26,연관어,disapproval,"n.불승인, 불찬성, 반감 "
40,표제어,disaster,"n.재해, 재난, 참사"
40,연관어,disastrous,"a.재앙적인, 막심한 피해의, 처참한"
43,표제어,discard,"v.버리다, 처리하다"
35,표제어,discharge,"n.방출, 배출 v.내보내다, 해고하다 "
23,표제어,discipline,"n.규율, 훈련, 학문 분야, 절제 v.훈련하다, 훈육하다, 징계하다"
23,연관어,disciplinary,"a.규율의, 징계의 "
13,표제어,disclose,"v.폭로하다, 드러내다"
13,연관어,disclosure,"n.폭로, 공개"
31,표제어,discomfort,"n.불편함, 불쾌감"
9,표제어,disconnect,n.단절
9,연관어,disconnection,"n.단절, 분리"
30,표제어,discount,"n.할인 v.할인하다, 폄하하다, 무시하다"
28,표제어,discourage,"v.단념시키다, 낙담시키다, 방해하다"
28,연관어,discouraged,"a.낙담한, 의욕을 잃은"
46,표제어,discourse,"n.담화, 담론, 토론"
20,표제어,discover,v.발견하다
20,연관어,discovery,n.발견
11,표제어,discrete,"a.분리된, 별개의"
6,표제어,discriminate,"v.차별하다, 구별하다"
35,표제어,discrimination,"n.차별, 식별력"
35,연관어,discriminatory,a.차별적인
13,표제어,discussion,"n.논의, 토론"
13,연관어,discuss,"v.토론하다, 논의하다"
36,표제어,disease,n.질병
14,표제어,disguise,v.위장시키다
40,표제어,disgust,n.혐오
40,연관어,disgusting,a.역겨운
21,표제어,dishonest,"a.부정직한, 정직하지 않은"
41,표제어,disinterest,n.무관심
26,표제어,dislike,"n.혐오, 반감 v.싫어하다 "
2,표제어,dismiss,"v.묵살하다, 무시하다, 해고하다"
2,연관어,dismissal,"n.해고, 묵살, 기각"
6,표제어,disorder,"n.장애, 혼란, 이상"
6,연관어,disorderly,"a.무질서한, 어수선한"
17,표제어,disorient,"v.방향 감각을 잃게 하다, 혼란스럽게 하다"
17,연관어,disoriented,"a.방향 감각을 잃은, 혼란스러운"
2,표제어,disparity,"n.차이, 격차"
40,표제어,disperse,"v.분산시키다, 흩어지다, 퍼뜨리다"
40,연관어,dispersal,n.분산
29,표제어,dispose of,"v.처리하다, 없애다"
29,연관어,disposable,a.마음대로 이용할 수 있는
35,표제어,dispute,"n.분쟁, 논쟁"
29,표제어,disregard,"n.무시, 묵살 v.무시하다, 소홀히 하다"
11,표제어,disrupt,"v.방해하다, 혼란시키다, 붕괴시키다"
11,연관어,disruption,"n.혼란, 파괴"
11,연관어,disruptive,"a.지장을 주는, 파괴적인"
18,표제어,dissatisfy,"v.불만을 느끼게 하다, 불평을 갖게 하다"
18,연관어,dissatisfied,a.불만족한 
,연관어,distant,"a.먼, 떨어져 있는, 냉담한"
43,표제어,distinctive,"a.독특한, 특유의, 뚜렷이 구분되는"
43,연관어,distinct,"a.별개의, 뚜렷이 구별되는, 독특한, 특유의"
43,연관어,distinction,"n.차이, 구별, 탁월함"
38,표제어,distinguish,"v.구별하다, 식별하다, 두드러지게 하다"
38,연관어,distinguished,"a.저명한, 위대한, 뛰어난"
7,표제어,distort,"v.왜곡하다, 비틀다"
7,연관어,distortion,"n.왜곡, 곡해"
21,표제어,distraction,"n.방해, 주의 산만"
21,연관어,distract,"v.산만하게 하다, (주의를) 딴 데로 돌리다"
7,표제어,distress,"n.괴로움, 고통"
17,표제어,distribute,"v.분배하다, 유통하다, 배포하다"
17,연관어,distribution,"n.분배, 배포"
9,표제어,disturb,"v.방해하다, 어지럽히다, 혼란스럽게 하다"
9,연관어,disturbance,"n.방해, 교란 "
9,연관어,disturbing,"a.불안하게 하는, 방해가 되는 "
18,표제어,diversity,"n.다양성, 차이"
18,연관어,diverse,"a.다양한, 서로 다른, 여러 가지의"
18,연관어,diversify,v.다양화하다
21,표제어,divide,"v.나누다, 분할하다"
21,연관어,division,"n.구분, 분배"
32,표제어,domestic,"a.국내의, 가정의, 길들여진"
32,연관어,domesticate,"v.길들이다, 사육하다"
32,연관어,domestication,"n.길들이기, 가축화"
29,표제어,dominant,a.지배적인
29,연관어,dominance,"n.지배력, 우위, 우세"
29,연관어,dominate,"v.지배하다, 장악하다"
29,연관어,domination,"n.지배, 통제"
13,표제어,donate,"v.기부하다, 기증하다"
13,연관어,donation,n.기부
13,연관어,donor,n.기부자
8,표제어,doubt,"n.의구심, 의심 v.의심하다 "
8,연관어,doubtful,"a.의심하는, 회의적인"
8,연관어,undoubtedly,ad.의심할 여지 없이
38,표제어,downplay,v.경시하다
21,표제어,downside,"n.불리한 면, 부정적인 면"
42,표제어,dozen,"n.12개, 다수"
47,표제어,drag,"v.끌다 n.저항(력), 방해물"
27,표제어,dramatic,"a.극적인, 인상적인"
6,표제어,draw,"v.그리다, 끌어당기다, 끌어내다"
34,표제어,drawback,"n.문제점, 결점"
1,표제어,drive,"n.욕구, 충동, 추진력 v.유도하다, 이끌다, 영향을 미치다, 운전하다"
41,표제어,drought,n.가뭄
44,표제어,drown,"v.물에 빠지다, 익사시키다"
20,표제어,due,"a.~로 인한, 만기가 된"
34,표제어,due to,~때문에
15,표제어,dump,v.(쓰레기 따위를) 내버리다
9,표제어,duration,n.지속 기간
9,연관어,durable,"a.내구성이 있는, 오래가는"
13,표제어,dust,n.먼지
47,표제어,duty,n.임무
27,표제어,dynamic,"a.역동적인, 활발한"
4,표제어,eager,"a.갈망하는, 열망하는"
4,연관어,eagerly,"ad.간절히, 열심히"
4,연관어,be eager to,간절히~하고 싶어하다
4,표제어,earn,"v.얻다, 벌다, 획득하다"
4,연관어,earnings,"n.수입, 소득"
18,표제어,ease,"v.덜다, 완화하다 n.편안함"
18,연관어,easily,ad.쉽게 
18,연관어,at ease,편안한
41,표제어,eco-friendly,a.친환경적인
23,표제어,ecological,"a.생태학의, 생태적인, 환경친화적인"
23,연관어,ecologist,n.생태학자
23,연관어,ecology,"n.생태학, 생태 "
6,표제어,economic,"a.경제의, 경제적인, 실용적인"
6,연관어,economical,"a.경제적인, 절약하는, 실속 있는"
6,연관어,uneconomical,a.비경제적인
6,연관어,economically,"ad.경제적으로, 절약하여"
6,연관어,economics,n.경제학
6,연관어,economist,n.경제학자
6,연관어,economy,"n.경제, 절약, 검약"
35,표제어,ecosystem,n.생태계 
40,표제어,edible,"a.식용의, 먹을 수 있는"
4,표제어,edit,v.편집하다
4,연관어,editor,n.편집자
34,표제어,educational,a.교육의
34,연관어,educated,a.교육받은
34,연관어,education,n.교육
34,연관어,educator,n.교육자
6,표제어,effect,"n.효과, 결과, 영향"
6,연관어,effective,a.효과적인
6,연관어,effectively,"ad.사실상, 효과적으로"
6,연관어,effectiveness,"n.효과, 유효성"
6,연관어,efficacy,"n.효능, 효율"
6,연관어,efficiency,n.효율성
36,표제어,efficient,a.효율적인
36,연관어,efficiently,ad.효율적으로
45,표제어,effort,"n.노력, 수고"
45,연관어,effortless,"a.힘들지 않은, 수월한"
45,연관어,effortlessly,"ad.쉽게, 노력 없이"
23,표제어,elaborate,"a.정교한, 공들인"
24,표제어,elderly,"a.나이가 지긋한, 노인의"
24,연관어,elder,a.나이든
3,표제어,election,n.선거
3,연관어,elect,v.선출하다
15,표제어,electricity,n.전기
15,연관어,electric,"a.전기의, 전력의"
15,연관어,electrical,a.전기의
12,표제어,electronic,a.전자의
12,연관어,electronics,"n.전자 장치, 전자 기기"
24,표제어,elegant,"a.우아한, 정밀한"
24,연관어,elegance,n.우아함
34,표제어,element,"n.요소, 원소"
34,연관어,elemental,"a.기본적인, 본질적인"
34,연관어,elementary,"a.기본적인, 초등의"
47,표제어,elevate,"v.들어올리다, 향상시키다"
47,연관어,elevation,"n.고도, 승진, 향상"
13,표제어,elicit,v.(반응 등을) 이끌어내다
30,표제어,eliminate,"v.없애다, 제거하다"
30,연관어,elimination,"n.제거, 탈락"
32,표제어,embarrass,"v.당황하게 하다, 난처하게 하다"
32,연관어,embarrassment,"n.당황, 곤란한 상황"
31,표제어,embed,"v.박다, 끼워 넣다, 깊이 새기다"
31,연관어,embedded,"a.내장형의, 뿌리 박힌"
4,표제어,embody,"v.구현하다, 구체화하다, 상징하다"
29,표제어,embrace,"v.받아들이다, 수용하다, 포용하다, 껴안다 "
5,표제어,emerge,"v.나타나다, 드러나다, 등장하다, 부상하다"
5,연관어,emergence,"n.출현, 발생"
5,연관어,emergency,"n.비상, 긴급사태, 응급"
36,표제어,emit,"v.방출하다, 내뿜다"
36,연관어,emission,"n.방출, 배출"
23,표제어,emotional,"a.감정적인, 정서적인"
7,표제어,empathy,"n.공감, 감정 이입"
7,연관어,empathic(=empathetic),"a.감정 이입의, 공감하는"
7,연관어,empathize,v.공감하다
42,표제어,emphasize,"v.강조하다, 중요시하다"
42,연관어,emphasis,n.강조
43,표제어,empire,n.제국
9,표제어,empirical,a.경험적인
34,표제어,employ,"v.이용하다, 쓰다, 고용하다"
34,연관어,employee,n.직원
34,연관어,employer,"n.고용주, 사용자"
34,연관어,employment,"n.고용, 직업, 일자리"
34,연관어,unemployment,n.실업
34,연관어,unemployed,"a.실업자인, 실직한"
23,표제어,empower,"v.권한을 주다, 권력을 부여하다"
23,연관어,empowerment,"n.자율권, 권한 이양"
39,표제어,empty,a.텅 빈
16,표제어,enable,"v.가능하게 하다, ~할 수 있게 하다"
48,표제어,enact,"v.만들다, 제정하다"
42,표제어,enclose,"v.둘러싸다, 동봉하다"
42,연관어,enclosed,"a.밀폐된, 밀봉된"
26,표제어,encompass,"v.포함하다, 애워싸다 "
29,표제어,encounter,"n.만남, 접촉 v. 맞닥뜨리다"
47,표제어,encourage,"v.격려하다, 권장하다, 장려하다"
47,연관어,encouragement,"n.격려, 장려, 용기"
47,연관어,end up ~ing,"v.결국 ~하다, 결국 ~이 되다 "
31,표제어,endanger,v.위험에 빠뜨리다
31,연관어,endangered,a.멸종 위기의
41,표제어,endeavor,"n.노력, 시도 v.노력하다, 시도하다"
40,표제어,endless,a.끝없는
42,표제어,endure,"v.참다, 지속되다"
42,연관어,endurance,"n.인내, 참을성, 지구력"
42,연관어,enduring,a.지속적인
28,표제어,enemy,"n.적, 적군"
23,표제어,enforce,"v.시행하다, 강요하다"
23,연관어,enforceable,a.강제할 수 있는
23,연관어,enforcement,n.집행
38,표제어,engage,"v.참여하다, 종사하다, 끌어들이다, 약혼하다, 고용하다"
38,연관어,engagement,"n.약속, 약혼, 참여, 관여"
27,표제어,enhance,"v.향상시키다, 높이다, 강화하다"
27,연관어,enhancement,"n.향상, 강화"
44,표제어,enlarge,"v.확대하다, 확장하다, (사진 등을) 늘리다"
33,표제어,enormous,"a.거대한, 막대한, 엄청난"
7,표제어,enroll,v.등록하다
22,표제어,enterprise,"n.기업, 활동, 사업"
44,표제어,entertainment,"n.오락, 엔터테인먼트"
30,표제어,enthusiasm,"n.열정, 열광, 열의"
30,연관어,enthusiast,n.열성적인 사람
30,연관어,enthusiastic,"a.열성적인, 열정적인"
30,연관어,enthusiastically,ad.열정적으로
30,표제어,entire,a.전체의
30,연관어,entirely,"ad.전적으로, 완전히 "
21,표제어,entrepreneur,n.기업가
13,표제어,envious,"a.부러워하는, 질투하는"
13,연관어,envy,n.부러움 v.부러워하다
15,표제어,environmental,"a.환경의, 환경적인, 환경 보호의"
15,연관어,environment,n.환경
39,표제어,epidemic,"n.전염병, 급속한 확산"
8,표제어,equal,"a.평등한, 동일한, 동등한"
8,연관어,unequal,"a.불평등한, 같지 않은"
8,연관어,equality,"n.평등, 동등"
